Name,Rating,Color,Rarity,Frank,LSV,LR Community Review,Draftsim,Draftaholics,Gold/colorless adjustment
Return of the Wildspeaker,3.65,Green,Rare,3.5,3.5,3.65,4.74,3.94,0
Gilded Goose,3.65,Green,Rare,3.5,4,3.28,4.43,3.9,0
Acclaimed Contender,3.62,White,Rare,3.5,3.5,3.49,4.94,3.81,0
"Syr Alin, the Lion's Claw",3.61,White,Uncommon,3.5,3.5,3.55,4.75,3.74,0
Scorching Dragonfire,3.6,Red,Common,3.5,3.5,3.55,4.47,3.81,0
Witch's Vengeance,3.6,Black,Rare,3.5,3.5,3.57,4.59,3.71,0
Blacklance Paragon,3.58,Black,Rare,3.5,3.5,3.46,4.72,3.68,0
Slaying Fire,3.57,Red,Uncommon,3.5,3.5,3.38,4.7,3.71,0
Oathsworn Knight,3.57,Black,Rare,3.5,3.5,3.45,4.97,3.53,0
Archon of Absolution,3.57,White,Uncommon,3.5,3.5,3.37,4.58,3.72,0
Piper of the Swarm,3.57,Black,Rare,3,4,3.91,4.99,4.2,0
Order of Midnight,3.55,Black,Uncommon,3.5,3.5,3.39,4.46,3.61,0
Castle Ardenvale,3.52,Land,Rare,3.5,3.5,3.59,3.73,3.45,0
"Yorvo, Lord of Garenbrig",3.49,Green,Rare,3,4,3.64,4.99,3.94,0
Arcanist's Owl,3.47,Hybrid,Uncommon,3.5,4,3.14,4.78,2.75,0
Fierce Witchstalker,3.45,Green,Common,3.5,3.5,3.1,4.13,3.37,0
"Syr Elenora, the Discerning",3.44,Blue,Uncommon,3.5,3.5,3.13,4.35,3.16,0
Castle Locthwain,3.43,Land,Rare,3.5,3.5,3.64,3.79,2.81,0
Beanstalk Giant,3.42,Green,Uncommon,3.5,3.5,3.02,3.9,3.29,0
Foulmire Knight,3.42,Black,Uncommon,3.5,3.5,3,4.26,3.18,0
Mysterious Pathlighter,3.4,White,Uncommon,3.5,3.5,2.98,3.97,3.22,0
Rampart Smasher,3.39,Hybrid,Uncommon,3.5,3.5,3.12,4.64,2.74,0
"Grumgully, the Generous",3.38,Multicolored,Uncommon,3.5,3.5,3.72,3.08,3.3,-0.1
Faeburrow Elder,3.36,Multicolored,Rare,3.5,3.5,3.27,3.81,3.36,-0.1
Worthy Knight,3.36,White,Rare,3,3.5,3.56,4.99,3.66,0
Oakhame Adversary,3.35,Green,Uncommon,3.5,3.5,2.98,3.65,2.99,0
Animating Faerie,3.35,Blue,Uncommon,3.5,3,3.08,4.08,3.22,0
Fabled Passage,3.35,Artifact,Rare,3.5,3,2.94,4.26,2.63,0.1
Faerie Vandal,3.34,Blue,Uncommon,3.5,3,3.07,4.13,3.15,0
Fae of Wishes,3.34,Blue,Rare,3.5,3.5,2.68,4.1,3.05,0
Sundering Stroke,3.27,Red,Rare,3,4,2.89,4.99,3.25,0
Loch Dragon,3.27,Hybrid,Uncommon,3,4,3.19,4.55,3.09,0
Savvy Hunter,3.27,Multicolored,Uncommon,3,4,3.64,3.45,3.66,-0.1
Charming Prince,3.26,White,Rare,3,3.5,3.27,4.42,3.52,0
Improbable Alliance,3.22,Multicolored,Uncommon,3.5,3.5,3.07,2.38,3.13,-0.1
Castle Embereth,3.21,Land,Rare,3.5,3,3.16,3.38,2.46,0
Resolute Rider,3.21,Hybrid,Uncommon,3,3.5,3.36,4.41,3.08,0
Charmed Sleep,3.19,Blue,Common,3,3.5,3.19,4.09,3.19,0
Reave Soul,3.16,Black,Common,3,3,3.01,4.33,3.6,0
Fireborn Knight,3.15,Hybrid,Uncommon,3,3.5,3.01,4.63,2.95,0
Deathless Knight,3.14,Hybrid,Uncommon,3,3.5,3.09,4.27,2.93,0
Castle Vantress,3.12,Land,Rare,3,3.5,3.38,3.16,2.89,0
Trapped in the Tower,3.12,White,Common,3,3,3.25,4.3,3.1,0
Steelclaw Lance,3.11,Multicolored,Uncommon,3.5,3.5,2.85,2.71,2.45,-0.1
Enchanted Carriage,3.1,Artifact,Uncommon,3,4,2.31,3.85,2.43,0.1
Hypnotic Sprite,3.1,Blue,Uncommon,3,3,3.17,3.85,3.22,0
The Cauldron of Eternity,3.07,Black,Mythic,2.5,4.5,2.98,3.98,3.34,0
Thunderous Snapper,3.07,Hybrid,Uncommon,3,3.5,2.97,4.23,2.56,0
Ardenvale Tactician,3.07,White,Common,3,3,3.03,3.35,3.29,0
Bog Naughty,3.04,Black,Uncommon,3,2,3.25,4.62,3.49,0
Belle of the Brawl,3.03,Black,Uncommon,3,3,2.98,3.59,3,0
Inspiring Veteran,3.02,Multicolored,Uncommon,3,3.25,3.39,3.12,3.1,-0.1
Maraleaf Pixie,3.01,Multicolored,Uncommon,3,3,3.36,2.95,3.41,-0.1
Wintermoor Commander,2.98,Multicolored,Uncommon,3,3,3.28,3.21,3.2,-0.1
"Ayara, First of Locthwain",2.97,Black,Rare,2.5,3,3.47,4.52,3.51,0
Shepherd of the Flock,2.97,White,Uncommon,3,3.5,2.57,3.74,2.5,0
Glass Casket,2.97,White,Uncommon,2.5,3.5,3.31,4.13,3.25,0
Wandermare,2.94,Multicolored,Uncommon,3,3.25,3.16,1.96,3.23,-0.1
Scalding Cauldron,2.89,Artifact,Common,3,2.5,2.38,3.77,2.43,0.1
"Syr Faren, the Hengehammer",2.86,Green,Uncommon,2.5,3.5,2.79,4.58,2.93,0
Edgewall Innkeeper,2.8,Green,Uncommon,3,2,2.77,3.28,2.78,0
Outmuscle,2.78,Green,Common,2.5,3,2.81,4.08,3.04,0
Clockwork Servant,2.77,Artifact,Uncommon,2.5,3,2.58,3.85,2.63,0.1
Searing Barrage,2.77,Red,Common,2.5,3,2.91,4.06,2.85,0
Once Upon a Time,2.77,Green,Rare,2.5,3,2.83,3.72,3.04,0
"Linden, the Steadfast Queen",2.75,White,Rare,2.5,3,2.6,4.99,2.76,0
Sage of the Falls,2.71,Blue,Uncommon,2.5,3.5,2.51,3.17,2.68,0
Trail of Crumbs,2.69,Green,Uncommon,3,2,2.43,3.65,2.3,0
Stormfist Crusader,2.67,Multicolored,Rare,2.5,3,3.02,3.11,3.1,-0.1
Spinning Wheel,2.66,Artifact,Uncommon,2.5,3,2.16,3.83,2.31,0.1
Redcap Melee,2.65,Red,Uncommon,2.5,3.5,2.46,3.27,2.29,0
Tome Raider,2.65,Blue,Common,2.5,3,2.55,3.75,2.53,0
Merchant of the Vale,2.64,Red,Common,2.5,3,2.71,2.55,2.71,0
Rosethorn Acolyte,2.63,Green,Common,2.5,3,2.54,2.25,2.94,0
Turn into a Pumpkin,2.62,Blue,Uncommon,2.5,3,2.51,3.13,2.55,0
Venerable Knight,2.61,White,Uncommon,2.5,3,2.75,3.05,2.31,0
Castle Garenbrig,2.61,Land,Rare,2.5,3,2.84,2.89,2.24,0
"Emry, Lurker of the Loch",2.57,Blue,Rare,3,2,1.97,1.92,2.51,0
Youthful Knight,2.54,White,Common,2.5,3,2.49,2.41,2.33,0
Flutterfox,2.54,White,Common,2.5,3,2.46,1.78,2.56,0
Drown in the Loch,2.51,Multicolored,Uncommon,2.5,2.5,3.06,1.91,2.9,-0.1
Embereth Shieldbreaker,2.51,Red,Uncommon,2.5,3,2.25,2.4,2.36,0
Joust,2.49,Red,Uncommon,2,3.5,2.69,3.83,2.49,0
Oakhame Ranger,2.49,Hybrid,Uncommon,2,3,2.66,4.45,2.79,0
Lonesome Unicorn,2.47,White,Common,2.5,3,2.21,2.28,2.17,0
Queen of Ice,2.46,Blue,Common,2,3,2.8,3.18,2.87,0
Malevolent Noble,2.44,Black,Common,2.5,2.5,2.35,2.56,2.23,0
Smitten Swordmaster,2.43,Black,Common,2.5,2,2.49,2.84,2.46,0
Burning-Yard Trainer,2.42,Red,Uncommon,2.5,2,2.47,3.34,2.2,0
Golden Egg,2.39,Artifact,Common,2.5,2,2.08,2.55,1.97,0.1
Run Away Together,2.39,Blue,Common,2.5,2.5,2.37,2.63,1.82,0
Ogre Errant,2.38,Red,Common,2.5,2.5,2.38,1.93,2.02,0
Rimrock Knight,2.38,Red,Common,2.5,3,2.21,1.54,1.81,0
Covetous Urge,2.37,Hybrid,Uncommon,2,2.5,2.79,4.39,2.36,0
Into the Story,2.36,Blue,Uncommon,2,2.75,2.56,3.46,2.6,0
Shinechaser,2.35,Multicolored,Uncommon,2.5,2,2.9,2.13,2.4,-0.1
Kenrith's Transformation,2.35,Green,Uncommon,2,3,2.65,2.54,2.51,0
Wicked Guardian,2.35,Black,Common,2.5,2,2.46,2.06,2.18,0
Folio of Fancies,2.34,Blue,Rare,3,2,1.24,1.46,1.88,0
Silverflame Squire,2.33,White,Common,2.5,2.5,2.24,1.67,1.91,0
Mad Ratter,2.3,Red,Uncommon,2,2.25,2.62,3.78,2.56,0
Faerie Guidemother,2.3,White,Common,2.5,2.5,2.03,1.4,2.02,0
Hushbringer,2.3,White,Rare,2,2.5,2.42,3.93,2.44,0
Lucky Clover,2.29,Artifact,Uncommon,2,2,2.14,4.02,2.48,0.1
Escape to the Wilds,2.28,Multicolored,Rare,2,3,2.87,1.22,2.93,-0.1
Foreboding Fruit,2.27,Black,Common,2,2.5,2.53,3.09,2.39,0
Locthwain Paladin,2.26,Black,Common,2.5,2,2.16,1.77,1.97,0
Witch's Cottage,2.25,Land,Common,2,3,2.61,2.4,1.92,0
Opt,2.24,Blue,Common,2,3,2.51,1.46,2.24,0
Heraldic Banner,2.22,Artifact,Uncommon,2,2,2.28,3.66,1.97,0.1
Tuinvale Treefolk,2.22,Green,Common,2.5,1.5,2.24,1.96,2.05,0
Thrill of Possibility,2.21,Red,Common,2,3,2.5,1.87,1.96,0
Lost Legion,2.21,Black,Common,2,2.5,2.36,2.3,2.44,0
Forever Young,2.18,Black,Common,2,3,2.22,1.93,2.01,0
Midnight Clock,2.17,Blue,Rare,2,2,2.19,3.28,2.54,0
Garenbrig Carver,2.16,Green,Common,2.5,1.5,2.05,1.79,1.93,0
Frogify,2.16,Blue,Uncommon,2,2,2.65,2.07,2.39,0
Mystic Sanctuary,2.14,Land,Common,2,3,2.54,1.57,1.55,0
Garenbrig Paladin,2.12,Green,Common,2,2,2.46,2.48,2.15,0
Witching Well,2.11,Blue,Common,2,2.25,2.44,1.42,2.26,0
Revenge of Ravens,2.1,Black,Uncommon,2.5,1.5,1.69,2.64,1.6,0
Unexplained Vision,2.08,Blue,Common,2,2,2.27,1.84,2.32,0
Ardenvale Paladin,2.08,White,Common,2.5,1.5,2.01,0.87,1.72,0
Elite Headhunter,2.07,Hybrid,Uncommon,1.5,2,2.71,4.41,2.62,0
Bloodhaze Wolverine,2.07,Red,Common,2,2.5,2.15,1.77,1.87,0
Barrow Witches,2.06,Black,Common,2,2,2.49,1.64,2.04,0
Idyllic Grange,2.05,Land,Common,2,3,2.28,1.85,1.12,0
Prized Griffin,2.01,White,Common,2,2,2.24,1.57,2,0
Vantress Paladin,2,Blue,Common,2,2,2.2,1.22,2.07,0
Steelgaze Griffin,2,Blue,Common,2,2,2.05,1.79,2.02,0
Redcap Raiders,1.99,Red,Common,2,2,2.21,1.68,1.86,0
Garenbrig Squire,1.96,Green,Common,2,2,2.06,1.24,1.94,0
Reaper of Night,1.94,Black,Common,2,2.5,1.76,0.99,1.7,0
Curious Pair,1.94,Green,Common,2,2,1.87,1.52,1.9,0
Maraleaf Rider,1.94,Green,Common,2,2,2.07,1.29,1.77,0
Raging Redcap,1.94,Red,Common,2,2.5,1.84,1.49,1.4,0
Doom Foretold,1.91,Multicolored,Rare,2,1.5,2.34,1.68,2.33,-0.1
Gingerbread Cabin,1.89,Land,Common,1.5,3,2.25,2.15,1.61,0
So Tiny,1.87,Blue,Common,1.5,2.5,2.27,1.8,2.07,0
Dwarven Mine,1.85,Land,Common,1.5,3,2.3,2.07,1.33,0
Signpost Scarecrow,1.84,Artifact,Common,2,1.5,1.43,2.2,1.25,0.1
Brimstone Trebuchet,1.82,Red,Common,1.5,2,2.27,1.94,2.24,0
Seven Dwarves,1.82,Red,Common,2,1.5,2.01,1.64,1.43,0
Once and Future,1.8,Green,Uncommon,1.5,1.5,2.41,2.83,2.13,0
Shambling Suit,1.79,Artifact,Uncommon,1.5,1.5,1.86,3.58,1.7,0.1
Moonlit Scavengers,1.78,Blue,Common,1.5,2.25,2.15,1.69,1.88,0
Giant Opportunity,1.77,Green,Uncommon,1.5,1,2.62,3.39,2.07,0
Tempting Witch,1.74,Black,Common,1.5,1.5,2.15,3.46,1.8,0
Prophet of the Peak,1.74,Artifact,Common,1.5,1.5,1.99,1.64,1.89,0.1
Henge Walker,1.72,Artifact,Common,1.5,1.5,1.57,3.01,1.72,0.1
Festive Funeral,1.68,Black,Common,1.5,1.5,2.08,1.63,2.1,0
Sorcerer's Broom,1.66,Artifact,Uncommon,1.5,1.5,1.58,2.33,1.53,0.1
Overwhelmed Apprentice,1.65,Blue,Uncommon,1,2.25,2.21,2.79,2.26,0
Sporecap Spider,1.64,Green,Common,1.5,2,1.89,1.63,1.47,0
Skullknocker Ogre,1.6,Red,Uncommon,1.5,1.5,1.9,2.26,1.53,0
Rally for the Throne,1.58,White,Uncommon,1,2.5,2.11,3.05,1.6,0
Knight of the Keep,1.57,White,Common,2,1.5,1.3,0.52,0.85,0
Tournament Grounds,1.57,Multicolored,Uncommon,1.5,1.5,2.58,1.11,1.7,-0.1
Jousting Dummy,1.55,Artifact,Common,1.5,1.5,1.55,1.65,1.06,0.1
Outflank,1.54,White,Common,1,2,2.32,2.17,1.86,0
Cauldron's Gift,1.53,Black,Uncommon,1,2,2.16,2.01,2.04,0
True Love's Kiss,1.52,White,Common,2,1,1.46,0.08,1.01,0
Embereth Paladin,1.52,Red,Common,1.5,1.5,1.83,0.88,1.53,0
Insatiable Appetite,1.52,Green,Common,1.5,1.5,2.05,1.01,1.25,0
Giant's Skewer,1.52,Black,Common,1.5,1,1.79,2.01,1.66,0
Wildwood Tracker,1.52,Green,Common,1.5,1.5,1.73,1.15,1.5,0
Mantle of Tides,1.5,Blue,Common,1.5,1.75,1.75,0.91,1.21,0
Rosethorn Halberd,1.47,Green,Common,1.5,1.5,1.62,1.08,1.33,0
Corridor Monitor,1.46,Blue,Common,1.5,1.5,1.74,0.61,1.27,0
Barge In,1.45,Red,Common,1.5,1.5,1.78,0.53,1.22,0
Mistford River Turtle,1.43,Blue,Common,1,2.5,1.91,0.85,1.49,0
Mirrormade,1.43,Blue,Rare,1,1.5,1.67,4.08,1.64,0
Didn't Say Please,1.4,Blue,Common,1,2,1.85,1.83,1.52,0
Bartered Cow,1.39,White,Common,1.5,1.5,1.68,0.38,0.95,0
Weaselback Redcap,1.38,Red,Common,1.5,1,1.62,0.63,1.4,0
Witch's Oven,1.36,Artifact,Uncommon,1,1,1.77,3.62,1.11,0.1
Fervent Champion,1.35,Red,Rare,0.5,1,2.43,3.9,2.59,0
Crashing Drawbridge,1.35,Artifact,Common,1,1.5,1.69,1.61,1.24,0.1
Cauldron Familiar,1.33,Black,Uncommon,1,1.5,1.78,0.95,1.91,0
Gingerbrute,1.31,Artifact,Common,1,1.5,1.56,1.22,1.27,0.1
Merfolk Secretkeeper,1.3,Blue,Common,1,2,1.3,1.36,1.57,0
Shining Armor,1.27,White,Common,1,1.75,1.7,1.08,1.3,0
Wishclaw Talisman,1.26,Black,Rare,1,1,1.62,2.82,1.53,0
Silverflame Ritual,1.23,White,Common,1,1,1.89,1.39,1.51,0
Flaxen Intruder,1.22,Green,Uncommon,1,1,1.87,1.1,1.58,0
The Magic Mirror,1.21,Blue,Mythic,1,0,1.91,3.31,1.74,0
Wishful Merfolk,1.2,Blue,Common,1,1.5,1.66,0.39,1.38,0
Eye Collector,1.15,Black,Common,1,1.5,1.52,0.92,0.98,0
Mystical Dispute,1.12,Blue,Uncommon,1,1,1.64,1.43,0.99,0
Lash of Thorns,1.11,Black,Common,1,1,1.56,0.55,1.31,0
Memory Theft,1.1,Black,Common,1,1,1.54,0.63,1.22,0
All That Glitters,1.07,White,Uncommon,1,1,1.43,1.17,0.99,0
Inquisitive Puppet,0.99,Artifact,Uncommon,0.5,1,1.61,1.52,1.13,0.1
Dance of the Manse,0.97,Multicolored,Rare,1,0,1.54,1.26,1.86,-0.1
Weapon Rack,0.97,Artifact,Common,0.5,1,1.46,1.56,1.15,0.1
Ferocity of the Wilds,0.95,Red,Uncommon,0.5,1,1.55,2.92,1.15,0
Beloved Princess,0.92,White,Common,1,1,1.11,0.03,0.69,0
Righteousness,0.89,White,Uncommon,0.5,1,1.67,1.31,1.18,0
Fling,0.88,Red,Common,0.5,1.5,1.63,0.57,0.89,0
Locthwain Gargoyle,0.88,Artifact,Common,0.5,1,1.36,0.89,0.86,0.1
Crystal Slipper,0.86,Red,Common,0.5,1,1.72,1.04,1.03,0
Claim the Firstborn,0.86,Red,Uncommon,0.5,1.5,1.49,0.45,0.93,0
Roving Keep,0.86,Artifact,Common,0.5,1.5,1.17,0.45,0.55,0.1
Fortifying Provisions,0.85,White,Common,0.5,1.5,1.29,1.21,0.82,0
Fell the Pheasant,0.79,Green,Common,0.5,1,1.52,0.29,0.99,0
Tall as a Beanstalk,0.78,Green,Common,0.5,1,1.37,0.46,1.01,0
Wolf's Quarry,0.78,Green,Common,0.5,1,1.2,1.02,0.98,0
Return to Nature,0.7,Green,Common,0.5,1,1.36,0.11,0.62,0
Fires of Invention,0.69,Red,Rare,0.5,0,1.2,0.9,1.45,0
Specter's Shriek,0.67,Black,Uncommon,0.5,1,1.18,0.33,0.48,0
Blow Your House Down,0.64,Red,Common,0.5,1,1.14,0.09,0.43,0
Sorcerous Spyglass,0.44,Artifact,Rare,0,0.5,0.74,0.92,0.73,0.1
Irencrag Feat,0.19,Red,Rare,0,0,0.74,0.66,0.32,0
Happily Ever After,0.13,White,Rare,0,0,0.22,0.12,0.59,0
Deafening Silence,0.05,White,Uncommon,0,0,0.34,0,0,0
